name1,name2,time
c1529ec8f263c0621a0359ff45f3584d,71452d88e68b39c0ad902e1acb86464d,2
010220-121.42934-31.13303001,010221-121.42934-31.13303001,2
3194220e0fe0bbba450a131f2ba81c49,cdf9389737ed0ca17379986ad63cc9a2,2
010322-121.47861-31.20417001,010422-121.47861-31.20417001,2
8eb85ec9a057b1c660a90dcf5cebdb4b,6a28f2eac42d7d17d60482b303948695,2
010519-121.44666-31.18555001,01063-121.44666-31.18555001,13
d4bb4ffcd8c2220a1dad652bd72636e4,6df286d03c6c31a61bbebfc901e08d8c,2
010416-121.48176-31.23285001,010412-121.48176-31.23285001,3
fa5dcc9ab58243ce674a4195ae55b9b8,c9b0ef532cd272156031410dacb99d34,2
010417-121.47533-31.25294001,122914-121.47533-31.25294001,2
1dcc883ce7e95e477adc027c82142aac,63eea57da220fc53e6a543e9ed8ba759,2
010114-121.45371-31.21846001,010115-121.45371-31.21846001,2
3d9f9919704b3914a2e68a1898c26952,1241c5fc14f317e21521b62f9f821816,2
01058-121.45419-31.24132001,010119-121.45419-31.24132001,2
fa8eb6f9f538043ebeaaf9385101256b,c65591891f7584a6c8929b416da2dfeb,2
12275-121.51993-31.28360001,01054-121.51993-31.28360001,2
1d901000c9f16e8518cc949268de3ab8,4ce1fb30cb11c4054883b23d864dc705,2
01053-121.34054-31.15144001,12295-121.34054-31.15144001,4
f318e4c790b3add1a16859425732881a,e5eb03161b5ddc154fa5835ad8355f30,2
01018-121.43247-31.26429001,01012-121.43247-31.26429001,2
e821254161357cca0d668435afd305a8,bfa5d82ef8591cf034fb0e5b9d04cefe,2
122710-121.1588,30.90107001,3
e64855549137a060a6866b7b151514bf,e7a2e5ba4256d33522087c1224dd36c9,2
122917-121.4267-31.18419001,122915-121.4267-31.18419001,4
f524221a5b3135b3253653470fd64225,5f5d512a316eca03655987bee0eac9e9,2
010315-121.41694-31.26388001,12279-121.422068-31.26175101,2
9cf6f26d2ded3795300d6a489a64a693,9f45fed55876d5c3623e2bc5d8a00491,2
122918-121.4889-31.07574001,01057-121.4889-31.07574001,25
d3084100e9abe9bf6787e905c8305543,7dd09a1ee88afd22ae28cc20cbc7fffd,2
122710-121.38381-31.21699001,12279-121.38381-31.21699001,2
ab6e7f76cfde423c85c1645d58c624a6,315ec1f1951761d45a54fc2b27ff3b3b,2
123113-121.455-31.25610001,123114-121.455-31.25610001,2
459a2fd94fcc878f776835c22b76b30f,e58e4054df1b4f676766bf43031921c6,2
12284-121.41378-31.18216001,12291-121.41378-31.18216001,2
aa6875dee55453f1ef5c0c5730e11c00,d4902790431e1f870831349b37c5a6ad,2
123014-121.44069-31.30719001,123012-121.44069-31.30719001,2
092c9e3403e3bd337e877218473a1231,096d6ae747932065545cd4893234f5c1,2
123115-121.48-31.30861001,123015-121.414027-31.24256401,2
3b04ebc60c9336f4a4e42959261721e1,fb8b00722c7dfe5f01cafcbf8aefbce8,2
01013-121.4781-31.12205001,01053-121.4781-31.12205001,2
8deb940de1c579f049d01e0b664f3806,b483a1a5201f9940cdeae152f1b916d6,2
122910-121.472-31.27240001,01039-121.46916-31.27027001,2
028b466ae7d5ffcf814bc8e5308573d9,3ca1b7f3c4e47f10308faa65bb934f84,2
010216-121.4347835-31.19641066,010219-121.4347835-31.19641066,2
da7eb05faecef79d2077ec48c6d26f24,db84c0be15f0a1380f7a2a78d172a2e3,2
123013-121.50601-31.25979001,122915-121.50601-31.25979001,8
fa1c3758fee646cfd42ddf0d15ea41cf,451f3f735996c7607a846a38951f356d,2
010511-121.39158-31.24045001,010521-121.39158-31.24045001,3
711db3fa102ce20fb598717cab22df00,7063a637a516f8f2f62341ed4c9089f3,2
12294-121.511-31.23139001,12295-121.511-31.23139001,3
6b9f1b4b84434c282eb5b954f8d134d4,d8d11866c32fe5526b48be2c6897be9a,2
010314-121.439-31.23770001,010515-121.439-31.23770001,2
c37d6294eae8419dc6065a6f09bec1c3,7a70d0a90b97b4c5f3b72235e5b76288,2
010318-121.38108-31.14534001,010222-121.38108-31.14534001,4
5f3039f90e10e9f62e7ec3dd6d2566e2,15b45e9d8981c5ddfb0a631f019180ff,2
123121-121.47768-31.23846001,123122-121.47768-31.23846001,2
30d6f9fde4251cbd59542d16cdb74b7e,86abdf074683a28f58b8fd24d2589760,2
123013-121.4775-31.23527001,123014-121.4775-31.23527001,2
